Name,Team,Type,ValueinCR,Age,National Side,Batting Style,Bowling,MatchPlayed,NotOuts,RunsScored,100s,50s,4s,6s,BattingS/R,CatchesTaken,StumpingsMade,Overs,Maidens,Wickets,EconomyRate,S/R
Andre Russell,KKR,All-Rounder ,12,"33 Years, 10 Months, 16 Days",West Indies,Right Handed,Right-arm fast,84,12,1700,0,9,119,143,178.57,25,0,210.1,0,72,9.04,17.51
Nitish Rana,KKR,All-Rounder ,8,"28 Years, 2 Months, 19 Days",India,Left Handed,Off break,77,7,1820,0,13,161,89,132.46,15,0,19.1,0,7,8.03,16.42
Varun Chakravarthy,KKR,Bowler ,8,"30 Years, 6 Months, 18 Days",India,Right Handed,Leg break googly,31,3,12,0,0,0,0,63.15,4,0,123,0,36,6.82,20.5
Venkatesh Iyer,KKR,All-Rounder ,8,"27 Years, 2 Months, 21 Days",India,Left Handed,Right-arm medium,10,1,370,0,4,37,14,128.47,7,0,8.3,0,3,8.11,17
Shivam Mavi,KKR,All-Rounder ,7.25,"23 Years, 3 Months, 19 Days",India,Right Handed,Right-arm fast medium,26,2,48,0,0,4,2,97.95,12,0,86.1,2,25,8.29,20.68
Pat Cummins,KKR,All-Rounder ,7.25,"28 Years, 10 Months, 7 Days",Australia,Right Handed,Right-arm fast,37,10,316,0,2,19,20,140.44,7,0,139,1,38,8.23,21.94
Sunil Narine,KKR,All-Rounder ,6,"33 Years, 9 Months, 20 Days",West Indies,Left Handed,Off break,134,15,954,0,4,106,57,161.69,21,0,520.1,3,143,6.74,21.82
Umesh Yadav,KKR,Bowler ,2,"34 Years, 4 Months, 22 Days",India,Right Handed,Right-arm fast,121,24,122,0,0,11,4,95.31,29,0,420.2,3,119,8.51,21.19
Sam Billings,KKR,Wicket-Keeper ,2,"30 Years, 9 Months, 1 Days",England,Right Handed,,22,0,334,0,3,31,10,133.6,13,0,,,,,
Tim Southee,KKR,Bowler ,1.5,"33 Years, 3 Months, 4 Days",New Zealand,Right Handed,Right-arm medium fast,43,6,118,0,0,8,4,124.21,19,0,160,2,31,8.67,30.96
Alex Hales,KKR,Batsman ,1.5,"33 Years, 2 Months, 12 Days",England,Right Handed,Right-arm medium,6,0,148,0,0,13,6,125.42,2,0,,,,,
Mohammad Nabi,KKR,All-Rounder ,1,"37 Years, 2 Months, 14 Days",Afghanistan,Right Handed,Off break,17,2,180,0,0,16,9,151.26,11,0,57.1,0,13,7.13,26.38
Ajinkya Rahane,KKR,Batsman ,1,"33 Years, 9 Months, 9 Days",India,Right Handed,Right-arm medium,151,16,3941,2,28,417,76,121.33,58,0,1,0,1,5,6
Sheldon Jackson,KKR,Wicket-Keeper ,0.6,,,,,,,,,,,,,,,,,,,
Rinku Singh,KKR,Batsman ,0.55,"24 Years, 5 Months, 3 Days",India,Left Handed,Off break,10,1,77,0,0,6,2,101.31,6,0,,,,,
Ashok Sharma,KKR,Bowler ,0.55,"19 Years, 8 Months, 28 Days",India,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,
Chamika Karunaratne,KKR,All-Rounder ,0.5,"25 Years, 9 Months, 17 Days",Sri Lanka,,,,,,,,,,,,,,,,,
